full_name,age,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,hattricks_total_overall,two_goals_in_a_game_total_overall,saves_total_overall,PSxG,PSxG/SoT,xSaves_total_overall,SoTA
Aoife Mannion,28,2021/2022,Defender,Manchester United Women,1080,630,450,England,12,7,5,0,0,0,0,0,0,0,0,6,4,2,11,9,2,0,0,0,0,0,0,0,0,0
Ashleigh Neville,30,2021/2022,Defender,Tottenham Hotspur Women,1838,938,900,England,21,11,10,3,2,1,2,1,1,0,0,8,5,3,17,5,12,4,0,0,0,0,0,0,0,0
Ashleigh Plumptre,25,2021/2022,Midfielder,Leicester City WFC,1741,931,810,England,20,11,9,1,1,0,1,0,1,0,0,4,4,0,40,21,19,3,0,0,0,0,0,0,0,0
Asmita Ale,21,2021/2022,Defender,Tottenham Hotspur Women,959,360,599,England,13,4,9,1,0,1,0,0,0,0,0,7,4,3,6,0,6,3,0,0,0,0,0,0,0,0
Aurora Galli,26,2021/2022,Midfielder,Everton Women,1443,718,725,Italy,18,9,9,1,0,1,0,0,0,0,0,3,0,3,32,19,13,0,0,0,0,0,0,0,0,0
Bethan Roberts,20,2021/2022,Defender,Reading Women,64,63,1,England,4,3,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Bethany England,29,2021/2022,Midfielder,Chelsea Women,870,418,452,England,20,9,11,8,6,2,4,1,3,1,0,12,6,6,6,1,5,0,0,0,2,0,0,0,0,0
Bethany Mead,28,2021/2022,Forward,Arsenal Women,1733,802,931,England,22,11,11,11,7,4,8,5,3,0,0,15,7,8,10,6,4,1,0,0,1,0,0,0,0,0
Brooke Cairns,20,2021/2022,Midfielder,West Ham United Women,0,0,0,England,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooke Chaplen,34,2021/2022,Midfielder,Reading Women,720,360,360,England,8,4,4,0,0,0,0,0,0,0,0,3,2,1,12,7,5,1,0,0,0,0,0,0,0,0
Caitlin Foord,28,2021/2022,Forward,Arsenal Women,794,394,400,Australia,16,8,8,4,3,1,3,1,2,0,0,13,6,7,2,2,0,2,0,0,1,0,0,0,0,0
Carlotte Wubben-Moy,24,2021/2022,Defender,Arsenal Women,1209,481,728,England,17,8,9,2,2,0,1,0,1,0,0,12,6,6,2,0,2,1,0,0,0,0,0,0,0,0
Carly Mitchell Telford,36,2021/2022,Goalkeeper,Chelsea Women,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caroline Weir,28,2021/2022,Forward,Manchester City Women,1464,716,748,Scotland,19,10,9,6,4,2,5,2,3,0,0,10,6,4,17,7,10,1,0,0,0,0,0,0,0,0
Carrie Jones,20,2021/2022,Forward,Manchester United Women,21,21,0,Wales,3,2,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Catherine Joan Bott,28,2021/2022,Defender,Leicester City WFC,56,0,56,New Zealand,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Cecilie Sandvej,33,2021/2022,Defender,Birmingham City Women,422,360,62,Denmark,5,4,1,0,0,0,0,0,0,0,0,0,0,0,16,12,4,0,0,0,0,0,0,0,0,0
Chantelle Boye-Hlorkah,28,2021/2022,Forward,Aston Villa Ladies,995,410,585,England,18,8,10,0,0,0,0,0,0,0,0,5,1,4,26,7,19,1,0,0,0,0,0,0,0,0
Charlotte Devlin,25,2021/2022,Forward,Leicester City WFC,168,124,44,England,6,5,1,0,0,0,0,0,0,0,0,2,2,0,7,5,2,1,0,0,0,0,0,0,0,0
Chioma Ubogagu,31,2021/2022,Forward,Tottenham Hotspur Women,493,253,240,USA,10,6,4,0,0,0,1,0,1,0,0,4,3,1,2,0,2,1,0,0,0,0,0,0,0,0
Chloe Arthur,28,2021/2022,Defender,Aston Villa Ladies,979,465,514,Scotland,17,7,10,0,0,0,0,0,0,0,0,4,0,4,16,10,6,1,0,0,0,0,0,0,0,0
Chloe Kelly,25,2021/2022,Forward,Manchester City Women,302,197,105,England,5,3,2,1,1,0,3,3,0,0,0,4,2,2,2,2,0,0,0,0,0,0,0,0,0,0
Chloe Peplow,24,2021/2022,Midfielder,Reading Women,788,240,548,England,13,6,7,0,0,0,0,0,0,0,0,3,2,1,19,7,12,0,0,0,0,0,0,0,0,0
Christie Murray,33,2021/2022,Midfielder,Birmingham City Women,1519,799,720,Scotland,17,9,8,1,1,0,0,0,0,1,0,3,2,1,38,13,25,0,0,0,0,0,0,0,0,0
Claire Emslie,29,2021/2022,Forward,Everton Women,1026,511,515,Scotland,18,9,9,2,0,2,1,1,0,0,0,4,0,4,18,10,8,0,0,0,0,0,0,0,0,0
Claudia Walker,27,2021/2022,Midfielder,West Ham United Women,1356,686,670,England,20,9,11,3,3,0,1,1,0,0,0,5,3,2,21,8,13,3,0,0,0,0,0,0,0,0
Connie Scofield,24,2021/2022,Midfielder,Leicester City WFC,25,0,25,England,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Courtney Brosnan,27,2021/2022,Goalkeeper,Everton Women,360,180,180,Republic of Ireland,4,2,2,0,0,0,0,0,0,0,0,0,0,0,7,5,2,0,0,0,0,17,6,0.25,0.75,24
Dagný Brynjarsdóttir,32,2021/2022,Midfielder,West Ham United Women,1681,901,780,Iceland,20,11,9,4,3,1,1,0,1,0,0,5,3,2,24,12,12,1,0,0,0,0,0,0,0,0
Danielle Buet,34,2021/2022,Midfielder,Brighton & Hove Albion Women,76,76,0,England,2,2,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0
Danielle Carter,30,2021/2022,Forward,Brighton & Hove Albion Women,1449,675,774,England,21,11,10,2,0,2,1,0,1,0,0,7,3,4,32,14,18,2,0,0,0,0,0,0,0,0
Danielle Turner,32,2021/2022,Midfielder,Everton Women,1726,796,930,England,21,10,11,2,1,1,0,0,0,0,0,4,0,4,37,18,19,3,0,0,0,0,0,0,0,0
Danique Kerkdijk,27,2021/2022,Defender,Brighton & Hove Albion Women,1354,730,624,Netherlands,20,10,10,0,0,0,0,0,0,0,0,6,3,3,17,5,12,1,0,0,0,0,0,0,0,0
Deanna Cooper,30,2021/2022,Defender,Reading Women,1313,593,720,England,17,8,9,0,0,0,0,0,0,0,0,5,3,2,26,12,14,0,0,0,0,0,0,0,0,0
Deanne Rose,24,2021/2022,Forward,Reading Women,1680,873,807,Canada,21,11,10,4,2,2,3,2,1,0,0,7,5,2,28,13,15,1,0,0,1,0,0,0,0,0
Demi Lambourne,27,2021/2022,Goalkeeper,Leicester City WFC,1260,720,540,England,14,8,6,0,0,0,0,0,0,0,0,4,4,0,30,15,15,0,0,0,0,46,22.33,0.29,0.71,77
Demi Stokes,31,2021/2022,Defender,Manchester City Women,1540,804,736,England,19,10,9,1,1,0,2,1,1,0,0,11,6,5,15,7,8,1,0,0,0,0,0,0,0,0
Diane Caldwell,35,2021/2022,Midfielder,Manchester United Women,450,90,360,Republic of Ireland,5,1,4,0,0,0,0,0,0,0,0,1,1,0,3,0,3,3,0,0,0,0,0,0,0,0
Drew Spence,30,2021/2022,Midfielder,Chelsea Women,428,202,226,England,16,8,8,1,0,1,1,0,1,0,0,12,7,5,1,0,1,0,0,0,0,0,0,0,0,0
Eleanor Doyle,25,2021/2022,Midfielder,Birmingham City Women,329,234,95,Republic of Ireland,12,5,7,0,0,0,0,0,0,0,0,1,1,0,8,7,1,0,0,0,0,0,0,0,0,0
Elisha N'Dow,26,2021/2022,Defender,Aston Villa Ladies,493,220,273,England,7,3,4,0,0,0,0,0,0,0,0,1,0,1,15,4,11,0,0,0,0,0,0,0,0,0
Ella Toone,24,2021/2022,Forward,Manchester United Women,1902,930,972,England,22,11,11,7,2,5,8,8,0,0,0,10,7,3,19,10,9,3,0,0,1,0,0,0,0,0
Ellen White,34,2021/2022,Forward,Manchester City Women,1216,603,613,England,22,11,11,4,1,3,4,1,3,0,0,12,6,6,16,7,9,1,0,0,0,0,0,0,0,0
Ellie Brazil,24,2021/2022,Forward,Brighton & Hove Albion Women,978,633,345,England,19,9,10,0,0,0,1,1,0,0,0,7,3,4,22,14,8,1,0,0,0,0,0,0,0,0
Ellie Roebuck,24,2021/2022,Goalkeeper,Manchester City Women,897,540,357,England,10,6,4,0,0,0,0,0,0,0,0,8,5,3,3,2,1,1,0,0,0,9,2.4,0.2,0.8,12
Emily Gielnik,31,2021/2022,Forward,Aston Villa Ladies,1083,539,544,Australia,15,7,8,2,0,2,0,0,0,0,0,4,1,3,23,8,15,0,0,0,0,0,0,0,0,0
Emily Ramsey,22,2021/2022,Goalkeeper,Birmingham City Women,1286,656,630,England,15,8,7,0,0,0,0,0,0,0,0,3,2,1,31,13,18,2,1,0,0,44,21.28,0.28,0.72,76
Emily Simpkins,33,2021/2022,Midfielder,Brighton & Hove Albion Women,482,217,265,England,12,6,6,0,0,0,1,0,1,0,0,3,2,1,5,3,2,2,0,0,0,0,0,0,0,0
Emily Whelan,21,2021/2022,Forward,Birmingham City Women,483,176,307,Republic of Ireland,19,8,11,0,0,0,0,0,0,0,0,1,0,1,12,4,8,0,0,0,0,0,0,0,0,0
Emma Koivisto,29,2021/2022,Midfielder,Brighton & Hove Albion Women,1909,919,990,Finland,22,11,11,3,1,2,0,0,0,0,0,7,3,4,36,16,20,1,0,0,0,0,0,0,0,0
Emma Kullberg,32,2021/2022,Defender,Brighton & Hove Albion Women,984,420,564,Sweden,13,6,7,0,0,0,0,0,0,0,0,3,1,2,22,8,14,1,0,0,0,0,0,0,0,0
Emma Snerle,22,2021/2022,Forward,West Ham United Women,461,43,418,Denmark,8,2,6,1,0,1,1,1,0,0,0,2,1,1,5,0,5,1,0,0,0,0,0,0,0,0
Emma Thompson,19,2021/2022,Forward,Chelsea Women,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erin Cuthbert,25,2021/2022,Midfielder,Chelsea Women,1515,798,717,Scotland,20,11,9,4,2,2,4,1,3,0,0,14,8,6,9,4,5,0,0,0,0,0,0,0,0,0
Esme Beth Morgan,22,2021/2022,Defender,Manchester City Women,105,15,90,England,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Esmee de Graaf,26,2021/2022,Defender,Leicester City WFC,1615,856,759,Netherlands,21,11,10,0,0,0,0,0,0,0,0,4,4,0,39,19,20,1,0,0,0,0,0,0,0,0
Esther Morgan,21,2021/2022,Defender,Leicester City WFC,23,23,0,Wales,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Eveliina Summanen,25,2021/2022,Midfielder,Tottenham Hotspur Women,704,406,298,Finland,10,5,5,0,0,0,1,0,1,0,0,4,2,2,5,3,2,3,0,0,0,0,0,0,0,0
Evie Rabjohn,18,2021/2022,Defender,Aston Villa Ladies,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faye Bryson,26,2021/2022,Defender,Reading Women,1800,900,900,England,20,10,10,1,1,0,0,0,0,0,0,6,4,2,37,17,20,2,0,0,0,0,0,0,0,0
Felicity Gibbons,29,2021/2022,Midfielder,Brighton & Hove Albion Women,856,345,511,England,15,7,8,0,0,0,0,0,0,0,0,6,2,4,12,6,6,0,0,0,0,0,0,0,0,0
Filippa Angeldal,26,2021/2022,Midfielder,Manchester City Women,648,328,320,Sweden,15,7,8,0,0,0,0,0,0,0,0,7,3,4,14,7,7,0,0,0,0,0,0,0,0,0
Frances Angel,19,2021/2022,Goalkeeper,Brighton & Hove Albion Women,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frances Stenson,22,2021/2022,Goalkeeper,Arsenal Women,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Francesca Kirby,30,2021/2022,Forward,Chelsea Women,861,519,342,England,13,7,6,6,4,2,6,4,2,0,0,9,6,3,3,1,2,0,0,0,1,0,0,0,0,0
Frida Maanum,24,2021/2022,Midfielder,Arsenal Women,978,479,499,Norway,21,11,10,3,3,0,0,0,0,0,0,14,7,7,7,4,3,0,0,0,1,0,0,0,0,0
Ga-Eul Jeon,35,2021/2022,Midfielder,Reading Women,19,0,19,South Korea,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabrielle George,26,2021/2022,Defender,Everton Women,1890,990,900,England,21,11,10,0,0,0,0,0,0,0,0,3,0,3,41,22,19,5,0,0,0,0,0,0,0,0
Gemma Evans,27,2021/2022,Forward,Reading Women,1980,990,990,Wales,22,11,11,0,0,0,1,0,1,0,0,7,5,2,38,17,21,0,0,0,0,0,0,0,0,0
Gemma Suzanne Davison,36,2021/2022,Forward,Aston Villa Ladies,63,9,54,England,3,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Georgia Brougham,27,2021/2022,Defender,Leicester City WFC,723,330,393,England,11,5,6,0,0,0,0,0,0,0,0,1,1,0,22,14,8,1,0,0,0,0,0,0,0,0
Georgia Stanway,24,2021/2022,Forward,Manchester City Women,1670,844,826,England,22,11,11,8,3,5,1,0,1,0,0,12,6,6,16,8,8,3,1,0,2,0,0,0,0,0
Geum-Min Lee,29,2021/2022,Forward,Brighton & Hove Albion Women,1133,586,547,South Korea,16,9,7,2,2,0,1,0,1,0,0,6,2,4,18,8,10,0,0,0,0,0,0,0,0,0
Gilly Louise Scarlett Flaherty,32,2021/2022,Defender,West Ham United Women,1710,990,720,England,19,11,8,0,0,0,2,2,0,0,0,5,3,2,25,13,12,1,0,0,0,0,0,0,0,0
Grace Fisk,25,2021/2022,Midfielder,West Ham United Women,1350,630,720,England,16,7,9,2,2,0,0,0,0,0,0,2,2,0,24,8,16,0,0,0,0,0,0,0,0,0
Grace Moloney,30,2021/2022,Goalkeeper,Reading Women,1755,855,900,Republic of Ireland,20,10,10,0,0,0,0,0,0,0,0,7,5,2,30,13,17,1,0,0,0,59,23.25,0.25,0.75,93
Guro Reiten,29,2021/2022,Midfielder,Chelsea Women,1508,813,695,Norway,21,11,10,7,3,4,5,4,1,0,0,13,8,5,9,4,5,2,0,0,1,0,0,0,0,0
Halle Houssein,18,2021/2022,Midfielder,West Ham United Women,25,7,18,England,6,3,3,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Hanna Bennison,20,2021/2022,Forward,Everton Women,1216,611,605,Sweden,22,11,11,1,1,0,2,0,2,0,0,4,0,4,26,13,13,0,0,0,0,0,0,0,0,0
Hannah Cain,24,2021/2022,Forward,Leicester City WFC,278,63,215,England,4,1,3,0,0,0,0,0,0,0,0,0,0,0,7,1,6,0,0,0,0,0,0,0,0,0
Hannah Hampton,22,2021/2022,Goalkeeper,Aston Villa Ladies,1774,900,874,England,20,10,10,0,0,0,0,0,0,0,0,4,0,4,29,16,13,1,0,0,0,61,21.84,0.24,0.76,91
Hannah Jayne Blundell,29,2021/2022,Defender,Manchester United Women,1766,776,990,England,21,10,11,0,0,0,5,2,3,0,0,9,6,3,19,10,9,2,0,0,0,0,0,0,0,0
Harriet Scott,30,2021/2022,Defender,Birmingham City Women,1725,853,872,Republic of Ireland,20,10,10,0,0,0,0,0,0,0,0,3,2,1,45,18,27,2,0,0,0,0,0,0,0,0
Hawa Cissoko,26,2021/2022,Defender,West Ham United Women,1540,805,735,France,19,9,10,0,0,0,1,1,0,0,0,4,2,2,24,13,11,6,2,0,0,0,0,0,0,0
Hayley Ladd,30,2021/2022,Midfielder,Manchester United Women,1082,542,540,Wales,14,8,6,2,1,1,0,0,0,0,0,7,5,2,8,2,6,4,0,0,0,0,0,0,0,0
Hayley Raso,29,2021/2022,Forward,Manchester City Women,644,248,396,Australia,13,7,6,3,2,1,3,1,2,0,0,10,5,5,2,0,2,0,0,0,1,0,0,0,0,0
Hermoine Cull,19,2021/2022,Goalkeeper,Arsenal Women,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inessa Kaagman,27,2021/2022,Midfielder,Brighton & Hove Albion Women,1490,695,795,Netherlands,20,10,10,4,1,3,3,0,3,3,0,7,3,4,29,10,19,2,0,0,0,0,0,0,0,0
Isobel Christiansen,32,2021/2022,Midfielder,Everton Women,1702,862,840,England,20,10,10,0,0,0,2,1,1,0,2,4,0,4,36,20,16,1,0,0,0,0,0,0,0,0
Ivana Fuso,22,2021/2022,Forward,Manchester United Women,74,58,16,Germany,7,5,2,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackie Groenen,28,2021/2022,Midfielder,Manchester United Women,1066,538,528,Netherlands,16,9,7,0,0,0,0,0,0,0,0,8,6,2,14,7,7,1,0,0,0,0,0,0,0,0
Jade Moore,32,2021/2022,Midfielder,Manchester United Women,38,16,22,England,3,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamie Finn,25,2021/2022,Defender,Birmingham City Women,1650,825,825,Republic of Ireland,20,10,10,0,0,0,1,1,0,0,0,3,2,1,38,15,23,1,0,0,0,0,0,0,0,0
Janine Beckie,29,2021/2022,Forward,Manchester City Women,500,190,310,Canada,11,4,7,1,0,1,0,0,0,0,0,5,1,4,7,2,5,1,0,0,0,0,0,0,0,0
Jemma Elizabeth Purfield,26,2021/2022,Forward,Leicester City WFC,1646,866,780,England,20,10,10,2,0,2,1,1,0,0,0,3,3,0,41,23,18,3,1,0,0,0,0,0,0,0
Jennifer Beattie,32,2021/2022,Defender,Arsenal Women,587,224,363,Scotland,9,4,5,1,0,1,0,0,0,0,0,6,2,4,5,3,2,0,0,0,0,0,0,0,0,0
Jessica Carter,25,2021/2022,Midfielder,Chelsea Women,1687,815,872,England,21,10,11,0,0,0,1,1,0,0,0,13,7,6,11,4,7,1,0,0,0,0,0,0,0,0
Jessica Ngunga,23,2021/2022,Forward,Tottenham Hotspur Women,1187,641,546,England,16,8,8,2,2,0,3,1,2,0,0,6,4,2,10,3,7,1,0,0,0,0,0,0,0,0
Jessica Park,21,2021/2022,Midfielder,Manchester City Women,707,444,263,England,13,7,6,0,0,0,0,0,0,0,0,5,3,2,9,6,3,0,0,0,0,0,0,0,0,0
Jessica Sigsworth,29,2021/2022,Forward,Leicester City WFC,1126,630,496,England,13,7,6,2,1,1,1,1,0,1,0,2,2,0,21,11,10,4,0,0,0,0,0,0,0,0
Jessie Fleming,25,2021/2022,Midfielder,Chelsea Women,1055,468,587,Canada,21,11,10,6,1,5,4,2,2,0,0,14,8,6,1,0,1,1,0,0,0,0,0,0,0,0
Jiali Tang,28,2021/2022,Midfielder,Tottenham Hotspur Women,255,178,77,China,10,6,4,0,0,0,1,1,0,0,0,4,2,2,3,2,1,0,0,0,0,0,0,0,0,0
Jill Scott,36,2021/2022,Midfielder,Aston Villa Ladies,1004,586,418,England,15,7,8,0,0,0,1,0,1,0,0,5,1,4,13,9,4,0,0,0,0,0,0,0,0,0
Jonna Andersson,30,2021/2022,Defender,Chelsea Women,1001,595,406,Sweden,20,11,9,0,0,0,3,1,2,0,0,12,8,4,5,3,2,1,0,0,0,0,0,0,0,0
Jordan Nobbs,30,2021/2022,Midfielder,Arsenal Women,585,310,275,England,16,8,8,2,1,1,1,1,0,0,0,10,5,5,5,2,3,1,0,0,0,0,0,0,0,0
Jorja Fox,20,2021/2022,Defender,Chelsea Women,11,0,11,England,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josie Green,30,2021/2022,Midfielder,Tottenham Hotspur Women,543,336,207,Wales,11,7,4,1,0,1,0,0,0,0,0,3,3,0,9,1,8,1,0,0,0,0,0,0,0,0
Julia Zigiotti-Olme,25,2021/2022,Forward,Brighton & Hove Albion Women,562,210,352,Sweden,11,4,7,2,1,1,0,0,0,0,0,3,1,2,15,4,11,0,0,0,0,0,0,0,0,0
Julie Blakstad,22,2021/2022,Midfielder,Manchester City Women,340,174,166,Norway,8,5,3,1,1,0,1,1,0,0,0,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0
Justine Vanhaevermaet,31,2021/2022,Midfielder,Reading Women,1587,921,666,Belgium,19,11,8,2,1,1,2,2,0,1,0,7,5,2,20,12,8,2,0,0,0,0,0,0,0,0
Karima Benameur,34,2021/2022,Goalkeeper,Manchester City Women,900,360,540,France,10,4,6,0,0,0,0,0,0,0,0,3,1,2,16,7,9,0,0,0,0,16,8.58,0.26,0.74,33
Kate Longhurst,34,2021/2022,Midfielder,West Ham United Women,1764,895,869,England,22,11,11,1,0,1,2,2,0,0,0,5,3,2,26,11,15,4,0,0,0,0,0,0,0,0
Katerina Svitková,27,2021/2022,Forward,West Ham United Women,1546,672,874,Czech Republic,19,9,10,2,1,1,4,2,2,0,0,5,3,2,25,10,15,2,0,0,0,0,0,0,0,0
Katie McCabe,28,2021/2022,Midfielder,Arsenal Women,1334,684,650,Republic of Ireland,20,10,10,5,3,2,6,3,3,1,0,14,7,7,8,4,4,9,1,0,0,0,0,0,0,0
Katie Startup,24,2021/2022,Goalkeeper,Brighton & Hove Albion Women,180,0,180,England,2,0,2,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,8,1.89,0.21,0.79,9
Katie Zelem,27,2021/2022,Midfielder,Manchester United Women,1977,987,990,England,22,11,11,5,5,0,5,2,3,2,0,10,7,3,19,10,9,1,0,0,1,0,0,0,0,0
Kayleigh Green,35,2021/2022,Midfielder,Brighton & Hove Albion Women,909,501,408,Wales,18,9,9,4,3,1,1,0,1,0,0,4,2,2,24,13,11,2,0,1,1,0,0,0,0,0
Keira Barry,18,2021/2022,Forward,Manchester United Women,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keira Walsh,26,2021/2022,Midfielder,Manchester City Women,1512,824,688,England,18,10,8,1,0,1,3,2,1,0,0,11,6,5,11,7,4,1,0,0,0,0,0,0,0,0
Kenza Dali,32,2021/2022,Midfielder,Everton Women,1271,655,616,France,20,11,9,0,0,0,2,1,1,0,0,4,0,4,24,14,10,1,0,0,0,0,0,0,0,0
Kenzie Weir,19,2021/2022,Defender,Everton Women,0,0,0,Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kerys Harrop,32,2021/2022,Defender,Tottenham Hotspur Women,1514,720,794,England,19,8,11,1,0,1,0,0,0,0,0,6,3,3,15,4,11,1,0,0,0,0,0,0,0,0
Khadija Monifa Shaw,26,2021/2022,Midfielder,Manchester City Women,795,404,391,Jamaica,17,9,8,9,5,4,3,1,2,0,0,9,5,4,5,3,2,0,0,1,1,0,0,0,0,0
Khiara Keating,19,2021/2022,Goalkeeper,Manchester City Women,183,90,93,England,3,1,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,5,0.96,0.16,0.84,6
Kim Little,33,2021/2022,Midfielder,Arsenal Women,1791,884,907,Scotland,22,11,11,6,4,2,0,0,0,1,0,15,7,8,8,4,4,0,0,0,3,0,0,0,0,0
Kirstie Levell,26,2021/2022,Goalkeeper,Leicester City WFC,630,270,360,England,7,3,4,0,0,0,0,0,0,0,0,0,0,0,16,9,7,0,0,0,0,30,11.27,0.23,0.77,49
Kirsty Hanson,25,2021/2022,Forward,Manchester United Women,723,436,287,Scotland,17,9,8,1,1,0,1,1,0,0,0,6,5,1,12,8,4,1,0,0,0,0,0,0,0,0
Kirsty Smith,29,2021/2022,Defender,Manchester United Women,189,189,0,Scotland,3,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Kit Graham,27,2021/2022,Forward,Tottenham Hotspur Women,537,309,228,England,8,4,4,2,1,1,0,0,0,0,0,3,2,1,3,1,2,1,0,0,0,0,0,0,0,0
Kyah Simon,32,2021/2022,Forward,Tottenham Hotspur Women,926,435,491,Australia,14,6,8,3,2,1,1,0,1,1,0,3,1,2,9,2,7,3,0,0,1,0,0,0,0,0
Laura Brown,20,2021/2022,Midfielder,Aston Villa Ladies,649,398,251,England,10,7,3,0,0,0,1,1,0,0,0,2,1,1,12,5,7,0,0,0,0,0,0,0,0,0
Laura Coombs,32,2021/2022,Midfielder,Manchester City Women,633,261,372,England,16,8,8,4,2,2,1,1,0,0,0,8,4,4,6,2,4,0,0,0,0,0,0,0,0,0
Laura Wienroither,24,2021/2022,Defender,Arsenal Women,359,231,128,Austria,8,5,3,0,0,0,0,0,0,0,0,6,3,3,3,3,0,1,0,0,0,0,0,0,0,0
Lauren Hemp,23,2021/2022,Forward,Manchester City Women,1737,903,834,England,22,11,11,10,6,4,6,6,0,0,0,12,6,6,18,9,9,1,0,0,0,0,0,0,0,0
Lauren James,22,2021/2022,Midfielder,Chelsea Women,107,50,57,England,6,3,3,1,0,1,0,0,0,0,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0
Léa Cordier,21,2021/2022,Defender,Brighton & Hove Albion Women,0,0,0,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leah Galton,29,2021/2022,Forward,Manchester United Women,1706,921,785,England,21,11,10,8,5,3,3,2,1,0,0,10,7,3,16,9,7,0,0,0,2,0,0,0,0,0
Leah Williamson,26,2021/2022,Midfielder,Arsenal Women,1455,763,692,England,18,9,9,2,2,0,3,2,1,0,0,13,6,7,6,5,1,1,0,0,0,0,0,0,0,0
Leonie Maier,31,2021/2022,Defender,Everton Women,1093,530,563,Germany,15,7,8,1,1,0,0,0,0,0,0,4,0,4,19,11,8,0,0,0,0,0,0,0,0,0
Lia Wälti,30,2021/2022,Midfielder,Arsenal Women,1589,789,800,Switzerland,20,10,10,0,0,0,3,1,2,0,0,14,6,8,8,6,2,2,0,0,0,0,0,0,0,0
Libby Smith,21,2021/2022,Forward,Birmingham City Women,1234,624,610,England,20,10,10,2,1,1,1,0,1,0,0,3,2,1,34,12,22,2,0,0,0,0,0,0,0,0
Lisa Evans,31,2021/2022,Forward,West Ham United Women,1052,486,566,Scotland,16,8,8,1,1,0,3,2,1,0,0,3,2,1,14,5,9,0,0,0,0,0,0,0,0,0
Lisa Robertson,31,2021/2022,Defender,Birmingham City Women,1184,627,557,Scotland,16,9,7,0,0,0,0,0,0,0,0,1,0,1,30,15,15,6,0,0,0,0,0,0,0,0
Lois Joel,24,2021/2022,Defender,West Ham United Women,105,67,38,England,10,5,5,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Louise Quinn,33,2021/2022,Defender,Birmingham City Women,1980,990,990,Republic of Ireland,22,11,11,5,2,3,0,0,0,0,0,3,2,1,49,20,29,0,0,0,1,0,0,0,0,0
Luana Zajmi,21,2021/2022,Midfielder,Leicester City WFC,0,0,0,Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucy Bronze,31,2021/2022,Defender,Manchester City Women,1149,630,519,England,13,7,6,0,0,0,2,2,0,0,0,10,5,5,3,2,1,0,0,0,0,0,0,0,0,0
