full_name,age,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,hattricks_total_overall,two_goals_in_a_game_total_overall,saves_total_overall,PSxG,PSxG/SoT,xSaves_total_overall,SoTA
Natasha Harding,34,2022/2023,Midfielder,Aston Villa Ladies,95,27,68,Wales,4,2,2,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Natasha Jane Flint,27,2022/2023,Forward,Leicester City WFC,464,283,181,England,9,5,4,1,0,1,0,0,0,0,0,0,0,0,14,11,3,0,0,0,0,0,0,0,0,0
Nathalie Björn,26,2022/2023,Defender,Everton Women,1727,830,897,Sweden,20,10,10,0,0,0,1,0,1,0,0,6,1,5,29,16,13,4,0,0,0,0,0,0,0,0
Niamh Charles,24,2022/2023,Forward,Chelsea Women,1342,555,787,England,21,10,11,4,1,3,3,2,1,0,0,10,5,5,9,4,5,0,0,0,0,0,0,0,0,0
Niamh Fahey,36,2022/2023,Defender,Liverpool Women,991,516,475,Republic of Ireland,12,6,6,0,0,0,0,0,0,0,0,1,1,0,24,7,17,1,0,0,0,0,0,0,0,0
Nicoline Sørensen,26,2022/2023,Forward,Everton Women,1068,479,589,Denmark,15,7,8,2,1,1,4,2,2,0,0,4,1,3,22,8,14,0,0,0,0,0,0,0,0,0
Nikita Parris,29,2022/2023,Forward,Manchester United Women,1330,639,691,England,21,11,10,4,1,3,1,1,0,0,0,13,8,5,9,3,6,1,0,0,0,0,0,0,0,0
Nikola Karczewska,24,2022/2023,Forward,Tottenham Hotspur Women,495,228,267,Poland,13,7,6,2,1,1,0,0,0,0,0,3,2,1,9,3,6,1,0,0,0,0,0,0,0,0
Noelle Maritz,27,2022/2023,Defender,Arsenal Women,1137,452,685,Switzerland,17,7,10,0,0,0,2,0,2,0,0,8,4,4,12,4,8,1,0,0,0,0,0,0,0,0
Olivia McLoughlin,19,2022/2023,Midfielder,Aston Villa Ladies,92,77,15,England,6,3,3,0,0,0,0,0,0,0,0,1,0,1,3,3,0,0,0,0,0,0,0,0,0,0
Ona Batlle Pascual,24,2022/2023,Defender,Manchester United Women,1710,900,810,Spain,19,10,9,1,1,0,9,7,2,0,0,12,8,4,9,2,7,1,0,0,0,0,0,0,0,0
Pernille Mosegaard-Harder,30,2022/2023,Forward,Chelsea Women,607,298,309,Denmark,10,5,5,8,4,4,3,3,0,1,0,6,3,3,3,1,2,0,0,0,3,0,0,0,0,0
Poppy Pattinson,23,2022/2023,Defender,Brighton & Hove Albion Women,1539,810,729,England,21,11,10,0,0,0,1,1,0,0,0,1,1,0,50,25,25,2,0,0,0,0,0,0,0,0
Rachael Laws,32,2022/2023,Goalkeeper,Liverpool Women,1530,900,630,England,17,10,7,0,0,0,0,0,0,0,0,3,2,1,26,11,15,1,0,0,0,46,14.91,0.21,0.79,71
Rachel Corsie,34,2022/2023,Defender,Aston Villa Ladies,1164,468,696,Scotland,15,6,9,0,0,0,1,1,0,0,0,4,0,4,20,12,8,1,0,0,0,0,0,0,0,0
Rachel Daly,31,2022/2023,Forward,Aston Villa Ladies,1962,990,972,England,22,11,11,22,11,11,6,3,3,3,0,6,1,5,35,21,14,2,0,2,6,0,0,0,0,0
Rachel Furness,35,2022/2023,Midfielder,Liverpool Women,384,141,243,Northern Ireland,9,4,5,1,0,1,0,0,0,0,0,0,0,0,8,2,6,1,0,0,0,0,0,0,0,0
Rachel Rowe,31,2022/2023,Midfielder,Reading Women,1559,807,752,Wales,18,9,9,3,3,0,1,0,1,0,0,0,0,0,42,19,23,2,0,0,1,0,0,0,0,0
Rachel Williams,35,2022/2023,Forward,Manchester United Women,251,128,123,England,17,10,7,4,2,2,0,0,0,0,0,11,7,4,1,1,0,0,0,0,0,0,0,0,0,0
Rafaelle Leone Carvalho Souza,32,2022/2023,Defender,Arsenal Women,1252,717,535,Brazil,16,8,8,2,1,1,0,0,0,0,0,7,5,2,10,4,6,0,0,0,0,0,0,0,0,0
Ramona Petzelberger,30,2022/2023,Midfielder,Tottenham Hotspur Women,40,0,40,Germany,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Rebecca Jane,31,2022/2023,Defender,Reading Women,0,0,0,England,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rebecca Leigh Spencer,32,2022/2023,Goalkeeper,Tottenham Hotspur Women,990,540,450,England,11,6,5,0,0,0,0,0,0,0,0,0,0,0,22,13,9,1,0,0,0,0,15.25,0.25,0.75,61
Rebekah Stott,30,2022/2023,Defender,Brighton & Hove Albion Women,327,147,180,New Zealand,5,2,3,0,0,0,0,0,0,0,0,0,0,0,9,6,3,0,0,0,0,0,0,0,0,0
Remi Allen,33,2022/2023,Midfielder,Aston Villa Ladies,167,45,122,England,3,1,2,0,0,0,0,0,0,0,0,2,0,2,1,1,0,1,0,0,0,0,0,0,0,0
Remy Siemsen,23,2022/2023,Midfielder,Leicester City WFC,564,296,268,Australia,10,4,6,1,0,1,1,1,0,0,0,3,2,1,12,2,10,0,0,0,0,0,0,0,0,0
Rhiannon Roberts,33,2022/2023,Defender,Liverpool Women,477,246,231,Wales,19,10,9,1,0,1,0,0,0,0,0,2,1,1,9,4,5,0,0,0,0,0,0,0,0,0
Ria Percival,33,2022/2023,Defender,Tottenham Hotspur Women,52,18,34,New Zealand,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rikke Læntver Sevecke,27,2022/2023,Defender,Everton Women,1657,875,782,Denmark,21,11,10,1,1,0,0,0,0,0,0,6,2,4,24,13,11,1,0,0,0,0,0,0,0,0
Risa Shimizu,27,2022/2023,Defender,West Ham United Women,1897,990,907,Japan,22,11,11,0,0,0,0,0,0,0,0,5,4,1,40,17,23,0,0,0,0,0,0,0,0,0
Rosella Ayane,27,2022/2023,Forward,Tottenham Hotspur Women,1097,519,578,England,19,9,10,1,0,1,4,1,3,0,0,2,1,1,23,12,11,1,0,0,0,0,0,0,0,0
Ruby Doe,18,2022/2023,Midfielder,Arsenal Women,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruby Mace,20,2022/2023,Defender,Leicester City WFC,917,377,540,England,11,5,6,0,0,0,0,0,0,0,0,3,2,1,20,3,17,5,1,0,0,0,0,0,0,0
Ruby-Rae Tucker,17,2022/2023,Forward,Aston Villa Ladies,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruesha Littlejohn,33,2022/2023,Forward,Aston Villa Ladies,156,85,71,Republic of Ireland,8,2,6,0,0,0,0,0,0,0,0,2,0,2,2,2,0,2,0,0,0,0,0,0,0,0
Sabrina D’Angelo,30,2022/2023,Goalkeeper,Arsenal Women,360,270,90,Canada,4,3,1,0,0,0,0,0,0,0,0,1,1,0,4,3,1,0,0,0,0,12,3.52,0.22,0.78,16
Safia Middleton-Patel,19,2022/2023,Goalkeeper,Manchester United Women,0,0,0,Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
